1	0	0.147865
1	1	0.176232
1	2	0.134345
1	3	0.0863307
1	4	0
1	5	0
1	6	0
1	7	1.2557e-45
1	8	0
1	9	0.101278
1	10	0
1	11	1.58785e-10
1	12	0
1	13	0.0529974
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0.0843586
1	19	0
1	20	0.022516
1	21	4.6e-21
1	22	0.109584
1	23	0.0422457
1	24	9.94188e-16
1	25	0.0422457
2	0	1.71408e-05
2	1	0.924415
2	2	8.57234e-19
2	3	2.78534e-35
2	4	0
2	5	0
2	6	0
2	7	1.44694e-53
2	8	0
2	9	0.0595862
2	10	0
2	11	1.08431e-06
2	12	3.25444e-237
2	13	4.6051e-18
2	14	0
2	15	4.55767e-204
2	16	0
2	17	0
2	18	1.60751e-08
2	19	0
2	20	2.78969e-18
2	21	6.94656e-34
2	22	2.23948e-22
2	23	4.43513e-33
2	24	0.0159805
2	25	4.93678e-17
3	0	0.225978
3	1	1.30537e-12
3	2	0.381762
3	3	0.028005
3	4	0
3	5	0
3	6	9.77739e-157
3	7	6.86021e-18
3	8	2.04179e-255
3	9	4.42761e-07
3	10	8.36716e-234
3	11	0.0494314
3	12	8.45199e-162
3	13	0.120776
3	14	9.292e-210
3	15	1.68595e-152
3	16	1.52233e-156
3	17	0
3	18	8.00106e-05
3	19	0
3	20	0.011886
3	21	0.0254507
3	22	0.137185
3	23	1.82519e-10
3	24	0.0194454
3	25	2.10653e-07
4	0	0.402706
4	1	0.115858
4	2	7.31727e-11
4	3	1.26802e-23
4	4	0
4	5	0
4	6	1.22172e-52
4	7	1.60725e-28
4	8	9.15018e-39
4	9	1.54258e-28
4	10	9.96699e-98
4	11	0.00168115
4	12	2.0687e-19
4	13	9.58538e-13
4	14	5.46417e-27
4	15	5.47188e-15
4	16	3.63188e-50
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	5.96612e-18
4	23	1.57167e-05
4	24	0.461795
4	25	0.0179437
5	0	0.185325
5	1	1.20767e-15
5	2	0.233434
5	3	0.119883
5	4	5.22761e-213
5	5	0
5	6	7.53061e-18
5	7	0.0484407
5	8	1.33117e-14
5	9	2.97762e-137
5	10	8.19721e-51
5	11	8.98063e-06
5	12	7.97552e-22
5	13	2.16006e-10
5	14	1.00273e-18
5	15	7.51854e-21
5	16	1.36201e-14
5	17	2.9641e-89
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0.00458174
5	23	0.147387
5	24	9.40026e-17
5	25	0.26094
6	0	0.000328221
6	1	6.67915e-07
6	2	2.52807e-05
6	3	3.77811e-34
6	4	6.62456e-28
6	5	0
6	6	2.19302e-10
6	7	9.52824e-39
6	8	0.0787422
6	9	0
6	10	1.93465e-05
6	11	0
6	12	0.181429
6	13	1.51996e-70
6	14	0.10169
6	15	0.172347
6	16	1.59337e-05
6	17	7.31316e-25
6	18	0
6	19	0
6	20	0
6	21	0
6	22	2.14562e-14
6	23	0.285273
6	24	1.90776e-06
6	25	0.180127
7	0	4.01188e-09
7	1	1.00847e-59
7	2	3.26998e-10
7	3	0.446643
7	4	2.80827e-06
7	5	0
7	6	0.156409
7	7	4.5869e-09
7	8	4.87337e-20
7	9	0
7	10	1.82481e-20
7	11	0
7	12	1.41468e-16
7	13	1.59564e-159
7	14	9.01815e-05
7	15	3.99027e-32
7	16	0.0757145
7	17	0.125907
7	18	1.63919e-222
7	19	0
7	20	0
7	21	1.05117e-206
7	22	0.195234
7	23	4.39004e-19
7	24	1.06719e-53
7	25	1.36783e-10
8	0	0.0399226
8	1	0.044017
8	2	0.0399224
8	3	0.0348246
8	4	0.105436
8	5	0.0706319
8	6	0.0315998
8	7	0.0214967
8	8	0.0362559
8	9	0.0225203
8	10	0.0522055
8	11	0.020473
8	12	0.0450933
8	13	0.0255913
8	14	0.0324106
8	15	0.0453982
8	16	0.0394595
8	17	0.0360942
8	18	0.0296859
8	19	0.0286622
8	20	0.0419697
8	21	0.0286622
8	22	0.0286837
8	23	0.0395166
8	24	0.0286622
8	25	0.0308049
